problem,model,model_label,alpha_median_curve,log_intercept,alpha_seed_mean,alpha_seed_std,n_seed_alphas
Fisher(16),nn_only,NN-only,-0.1375178241895687,-1.2491768770533367,-0.14638356192232982,0.04258887221354319,10
Fisher(16),peds,PEDS físico,-0.22875431200689583,-1.1142061517078097,-0.23159586112441474,0.01338973519593027,10
Fisher(16),peds_afim,PEDS-afim,-0.44907318875155944,0.6940868401810132,-0.46229345524570087,0.06173066499268161,10
Fisher(25),nn_only,NN-only,-0.09065257368800571,-1.476739306202594,-0.08832270494957863,0.020548706206449205,10
Fisher(25),peds,PEDS físico,-0.17319223514052967,-1.466893969225451,-0.1744546467396378,0.01179991649654602,10
Fisher(25),peds_afim,PEDS-afim,-0.40623248271850954,0.4226760313260154,-0.38871390822948043,0.0614290511774535,10
Fourier(16),nn_only,NN-only,-0.17625804451865185,-1.2975961911169405,-0.17532982346757375,0.08038587918501353,10
Fourier(16),peds,PEDS físico,-0.038620159060326155,-2.1742055078288063,-0.038856280789820855,0.001124456821910398,10
Fourier(16),peds_afim,PEDS-afim,-0.6757319793801164,2.2337398822460983,-0.6982392457262498,0.15378113445295077,10
Fourier(25),nn_only,NN-only,-0.06956107464712659,-1.877907881628113,-0.06869683525225292,0.032876840792956205,10
Fourier(25),peds,PEDS físico,-0.17646973046909026,-1.7204271691689557,-0.17478965075591885,0.007896810974515557,10
Fourier(25),peds_afim,PEDS-afim,-0.588450316478048,1.510967929103174,-0.5834680671327679,0.12232620747967826,10
